epoch,accuracy,loss,val_accuracy,val_loss
0,0.38001659512519836,1.3233038187026978,0.47838616371154785,1.2568411827087402
1,0.642956018447876,0.9859137535095215,0.6599423885345459,0.8987419009208679
2,0.7996125221252441,0.5873737335205078,0.7031700015068054,0.7832067012786865
3,0.8447273969650269,0.4297628700733185,0.6974063515663147,0.7983396649360657
4,0.8798782229423523,0.33757978677749634,0.6945244669914246,0.8365772366523743
5,0.9009133577346802,0.273009717464447,0.6743515729904175,0.889439582824707
6,0.9202878475189209,0.23410631716251373,0.6685879230499268,0.9418279528617859
7,0.9396623373031616,0.18864332139492035,0.6743515729904175,1.0199798345565796
8,0.950179934501648,0.16351328790187836,0.6685879230499268,1.0986735820770264
9,0.9579296708106995,0.1382533758878708,0.6829971075057983,1.1554661989212036
10,0.9631884694099426,0.12647847831249237,0.6714697480201721,1.1728789806365967
11,0.9659562706947327,0.11386289447546005,0.6772334575653076,1.2292879819869995
12,0.9684472680091858,0.10755077004432678,0.6685879230499268,1.2989717721939087
13,0.9725989699363708,0.09768237173557281,0.6570605039596558,1.3235641717910767
14,0.9739828109741211,0.09048479050397873,0.6685879230499268,1.3548552989959717
15,0.973429262638092,0.09041848033666611,0.6570605039596558,1.399950385093689
16,0.9748131632804871,0.08384793996810913,0.6541786789894104,1.4834117889404297
17,0.9745364189147949,0.07786017656326294,0.6628242135047913,1.437199354171753
18,0.977027416229248,0.07316742092370987,0.6426513195037842,1.5651922225952148
19,0.9748131632804871,0.07446181774139404,0.6426513195037842,1.5399181842803955
20,0.9784113168716431,0.0686461329460144,0.6426513195037842,1.5656598806381226
21,0.976473867893219,0.06709595024585724,0.651296854019165,1.5771466493606567
22,0.9786880612373352,0.06549369543790817,0.639769434928894,1.6050513982772827
23,0.9797951579093933,0.061410725116729736,0.651296854019165,1.6399084329605103
24,0.9784113168716431,0.05953807011246681,0.6541786789894104,1.670175313949585
